id,outcome,conclusion,habitat,fish.sampling,cover,salmon.response
50,3a,positive,temperature,electrofishing,structure,density
50,3a,positive,gradient,electrofishing,structure,density
50,3a,positive,type,electrofishing,structure,density
2,1a,not included,type,macroinvertebrate,substrate category,not juvenile salmon
2,1a,not included,depth,macroinvertebrate,substrate category,not juvenile salmon
2,1a,not included,velocity,macroinvertebrate,substrate category,not juvenile salmon
2,1a,not included,substrate,macroinvertebrate,substrate category,not juvenile salmon
2,1a,not included,type,macroinvertebrate,substrate category,not juvenile salmon
2,1a,not included,depth,macroinvertebrate,substrate category,not juvenile salmon
2,1a,not included,velocity,macroinvertebrate,substrate category,not juvenile salmon
2,1a,not included,substrate,macroinvertebrate,substrate category,not juvenile salmon
2,4,not evaluated,type,macroinvertebrate,substrate category,not juvenile salmon
2,4,not evaluated,depth,macroinvertebrate,substrate category,not juvenile salmon
2,4,not evaluated,velocity,macroinvertebrate,substrate category,not juvenile salmon
2,4,not evaluated,substrate,macroinvertebrate,substrate category,not juvenile salmon
2,4,not evaluated,type,macroinvertebrate,substrate category,not juvenile salmon
2,4,not evaluated,depth,macroinvertebrate,substrate category,not juvenile salmon
2,4,not evaluated,velocity,macroinvertebrate,substrate category,not juvenile salmon
2,4,not evaluated,substrate,macroinvertebrate,substrate category,not juvenile salmon
6,3c,not related,velocity,snorkeling,substrate category,preference
6,3c,not related,temperature,snorkeling,substrate category,preference
6,3c,not related,depth,snorkeling,substrate category,preference
6,3c,not related,substrate,snorkeling,substrate category,preference
10,4,not evaluated,type,redd survey,substrate category,not juvenile salmon
10,4,not evaluated,depth,redd survey,substrate category,not juvenile salmon
10,4,not evaluated,velocity,redd survey,substrate category,not juvenile salmon
10,4,not evaluated,substrate,redd survey,substrate category,not juvenile salmon
10,4,not evaluated,type,redd survey,substrate category,not juvenile salmon
10,4,not evaluated,depth,redd survey,substrate category,not juvenile salmon
10,4,not evaluated,velocity,redd survey,substrate category,not juvenile salmon
10,4,not evaluated,substrate,redd survey,substrate category,not juvenile salmon
10,1a,not included,type,redd survey,substrate category,not juvenile salmon
10,1a,not included,depth,redd survey,substrate category,not juvenile salmon
10,1a,not included,velocity,redd survey,substrate category,not juvenile salmon
10,1a,not included,substrate,redd survey,substrate category,not juvenile salmon
10,1a,not included,type,redd survey,substrate category,not juvenile salmon
10,1a,not included,depth,redd survey,substrate category,not juvenile salmon
10,1a,not included,velocity,redd survey,substrate category,not juvenile salmon
10,1a,not included,substrate,redd survey,substrate category,not juvenile salmon
14,3a,positive,substrate,electrofishing,substrate category,density
14,3a,positive,cover,electrofishing,substrate category,density
25,1a,not included,depth,transect ,substrate category,preference
25,1a,not included,velocity,transect ,substrate category,preference
25,1a,not included,substrate,transect ,substrate category,preference
28,1a,not included,depth,electrofishing,substrate category,preference
28,1a,not included,velocity,electrofishing,substrate category,preference
28,1a,not included,substrate,electrofishing,substrate category,preference
28,1a,not included,depth,beach seine,substrate category,preference
28,1a,not included,velocity,beach seine,substrate category,preference
28,1a,not included,substrate,beach seine,substrate category,preference
30,1a,not included,depth,literarture,substrate category,preference
30,1a,not included,substrate,literarture,substrate category,preference
30,1a,not included,salinity,literarture,substrate category,preference
30,1a,not included,temperature,literarture,substrate category,preference
55,1b,model assumptions,depth,expert opinion,substrate category,preference
55,1b,model assumptions,velocity,expert opinion,substrate category,preference
55,1b,model assumptions,substrate,expert opinion,substrate category,preference
3,1a,not included,depth,electrofishing,substrate size,preference
3,1a,not included,depth,snorkeling,substrate size,preference
3,1a,not included,velocity,electrofishing,substrate size,preference
3,1a,not included,velocity,snorkeling,substrate size,preference
3,1a,not included,substrate,electrofishing,substrate size,preference
3,1a,not included,substrate,snorkeling,substrate size,preference
18,1a,not included,depth,snorkeling,substrate size,preference
18,1a,not included,velocity,snorkeling,substrate size,preference
18,1a,not included,substrate,snorkeling,substrate size,preference
21,1a,not included,depth,expert opinion,substrate size,preference
21,1a,not included,velocity,expert opinion,substrate size,preference
21,1a,not included,substrate,expert opinion,substrate size,preference
49,1a,not included,depth,electrofishing,substrate size,preference
49,1a,not included,velocity,electrofishing,substrate size,preference
49,1a,not included,substrate,electrofishing,substrate size,preference
49,1a,not included,depth,marking/tagging,substrate size,preference
49,1a,not included,velocity,marking/tagging,substrate size,preference
49,1a,not included,substrate,marking/tagging,substrate size,preference
56,1a,not included,depth,electrofishing,substrate size,preference
56,1a,not included,velocity,electrofishing,substrate size,preference
56,1a,not included,substrate,electrofishing,substrate size,preference
57,1b,model assumptions,depth,snorkeling,substrate size,preference
57,1b,model assumptions,velocity,snorkeling,substrate size,preference
57,1b,model assumptions,substrate,snorkeling,substrate size,preference
14,3a,positive,substrate,electrofishing,visibility,density
14,3a,positive,cover,electrofishing,visibility,abundance
16,3a,positive,depth,snorkeling,visibility,preference
16,3a,positive,velocity,snorkeling,visibility,preference
16,3a,positive,substrate,snorkeling,visibility,preference
16,3a,positive,cover,snorkeling,visibility,preference
23,3a,positive,type,seine ,visibility,survival 
23,3a,positive,velocity,seine ,visibility,survival 
23,3a,positive,cover,seine ,visibility,survival 
24,3a,positive,depth,electrofishing,visibility,preference
24,3a,positive,depth,experimental density ,visibility,preference
24,3a,positive,velocity,electrofishing,visibility,preference
24,3a,positive,velocity,experimental density ,visibility,preference
24,3a,positive,substrate,electrofishing,visibility,preference
24,3a,positive,substrate,experimental density ,visibility,preference
24,3a,positive,cover,electrofishing,visibility,preference
24,3a,positive,cover,experimental density ,visibility,preference
44,3a,positive,wetted width,electrofishing,visibility,preference
44,3a,positive,depth,electrofishing,visibility,preference
44,3a,positive,velocity,electrofishing,visibility,preference
44,3a,positive,substrate,electrofishing,visibility,preference
47,3a,positive,depth,electrofishing,visibility,preference
47,3a,positive,velocity,electrofishing,visibility,preference
47,3a,positive,substrate,electrofishing,visibility,preference
47,3a,positive,cover,electrofishing,visibility,preference
53,4,not evaluated,wetted width,electrofishing,visibility,preference
53,4,not evaluated,wetted width,snorkeling,visibility,preference
53,4,not evaluated,depth,electrofishing,visibility,preference
53,4,not evaluated,depth,snorkeling,visibility,preference
53,4,not evaluated,velocity,electrofishing,visibility,preference
53,4,not evaluated,velocity,snorkeling,visibility,preference
53,4,not evaluated,substrate,electrofishing,visibility,preference
53,4,not evaluated,substrate,snorkeling,visibility,preference
53,4,not evaluated,cover,electrofishing,visibility,preference
53,4,not evaluated,cover,snorkeling,visibility,preference
58,3a,positive,depth,snorkeling,visibility,preference
58,3a,positive,velocity,snorkeling,visibility,preference
58,3a,positive,substrate,snorkeling,visibility,preference
58,3a,positive,cover,snorkeling,visibility,preference
